BGP table version is 0, local router ID is 66.96.119.68
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 196.202.148.0/22 196.223.20.21            0             0 15706 ?
*> 196.202.152.0/21 196.223.20.21            0             0 15706 ?
*> 196.202.152.0/22 196.223.20.21            0             0 15706 ?
*> 196.202.152.0    196.223.20.21            0             0 15706 ?
*> 196.202.153.0    196.223.20.21            0             0 15706 ?
*> 196.202.154.0    196.223.20.21            0             0 15706 ?
*> 196.202.155.0    196.223.20.21            0             0 15706 ?
*> 196.202.156.0/22 196.223.20.21            0             0 15706 ?
*> 196.202.157.0    196.223.20.21            0             0 15706 ?
*> 196.202.158.0    196.223.20.21            0             0 15706 ?
*> 196.202.159.0    196.223.20.21            0             0 15706 ?
*> 196.223.152.0/21 196.223.20.40            0             0 37211 i
*> 196.223.152.0/22 196.223.20.40            0             0 37211 i
*> 196.223.152.0/23 196.223.20.40            0             0 37211 i
*> 196.223.152.0    196.223.20.40            0             0 37211 i
*> 196.223.153.0    196.223.20.40            0             0 37211 i
*> 196.223.154.0/23 196.223.20.40            0             0 37211 i
*> 196.223.154.0    196.223.20.40            0             0 37211 i
*> 196.223.155.0    196.223.20.40            0             0 37211 i
*> 196.223.156.0/22 196.223.20.40            0             0 37211 i
*> 196.223.156.0/23 196.223.20.40            0             0 37211 i
*> 196.223.156.0    196.223.20.40            0             0 37211 i
*> 196.223.157.0    196.223.20.40            0             0 37211 i
*> 196.223.158.0/23 196.223.20.40            0             0 37211 i
*> 196.223.158.0    196.223.20.40            0             0 37211 i
*> 196.223.159.0    196.223.20.40            0             0 37211 i
*> 197.208.0.0/15   196.223.20.28            0             0 36998 ?
*> 197.208.0.0/16   196.223.20.32            0             0 36998 ?
*> 197.208.0.0/17   196.223.20.32            0             0 36998 ?
*> 197.208.0.0/18   196.223.20.32            0             0 36998 ?
*> 197.208.64.0/18  196.223.20.32            0             0 36998 ?
*> 197.208.128.0/17 196.223.20.32            0             0 36998 ?
*> 197.208.128.0/18 196.223.20.32            0             0 36998 ?
*> 197.208.192.0/18 196.223.20.32            0             0 36998 ?
*> 197.209.0.0/16   196.223.20.32            0             0 36998 ?
*> 197.209.0.0/17   196.223.20.32            0             0 36998 ?
*> 197.209.0.0/18   196.223.20.32            0             0 36998 ?
*> 197.209.64.0/18  196.223.20.32            0             0 36998 ?
*> 197.209.128.0/17 196.223.20.32            0             0 36998 ?
*> 197.209.128.0/18 196.223.20.32            0             0 36998 ?
*> 197.209.192.0/18 196.223.20.32            0             0 36998 ?
*> 197.252.0.0/16   196.223.20.21            0             0 15706 ?
*> 197.252.0.0/17   196.223.20.21            0             0 15706 ?
*> 197.252.0.0      196.223.20.21            0             0 15706 ?
*> 197.252.1.0      196.223.20.21            0             0 15706 ?
*> 197.252.2.0      196.223.20.21            0             0 15706 ?
*> 197.252.3.0      196.223.20.21            0             0 15706 ?
*> 197.252.4.0      196.223.20.21            0             0 15706 ?
*> 197.252.5.0      196.223.20.21            0             0 15706 ?
*> 197.252.6.0      196.223.20.21            0             0 15706 ?
*> 197.252.7.0      196.223.20.21            0             0 15706 ?
*> 197.252.8.0      196.223.20.21            0             0 15706 ?
*> 197.252.9.0      196.223.20.21            0             0 15706 ?
*> 197.252.10.0     196.223.20.21            0             0 15706 ?
*> 197.252.11.0     196.223.20.21            0             0 15706 ?
*> 197.252.12.0     196.223.20.21            0             0 15706 ?
*> 197.252.13.0     196.223.20.21            0             0 15706 ?
*> 197.252.14.0     196.223.20.21            0             0 15706 ?
*> 197.252.15.0     196.223.20.21            0             0 15706 ?
*> 197.252.16.0     196.223.20.21            0             0 15706 ?
*> 197.252.17.0     196.223.20.21            0             0 15706 ?
*> 197.252.18.0     196.223.20.21            0             0 15706 ?
*> 197.252.19.0     196.223.20.21            0             0 15706 ?
