###############################################################################################
IPv4 route check output
###############################################################################################



IRR - Valid, RPKI - Valid: 866 prefixes
============================================================================================
+-----+-------+--------+------------------+-------------+
|     | irr   | rpki   | prefix           |   origin_as |
| 325 | Valid | Valid  | 103.98.131.0/24  |       58504 |
| 326 | Valid | Valid  | 103.101.36.0/22  |      136979 |
| 327 | Valid | Valid  | 103.101.37.0/24  |      136979 |
| 332 | Valid | Valid  | 103.104.28.0/22  |      137080 |
| 333 | Valid | Valid  | 103.104.28.0/23  |      137080 |
| 334 | Valid | Valid  | 103.104.28.0/24  |      137080 |
| 335 | Valid | Valid  | 103.104.29.0/24  |      137080 |
| 336 | Valid | Valid  | 103.104.30.0/23  |      137080 |
| 337 | Valid | Valid  | 103.104.30.0/24  |      137080 |
| 338 | Valid | Valid  | 103.104.31.0/24  |      137080 |
| 339 | Valid | Valid  | 103.104.232.0/22 |      137209 |
| 340 | Valid | Valid  | 103.104.232.0/24 |      137209 |
| 341 | Valid | Valid  | 103.104.233.0/24 |      137209 |
| 342 | Valid | Valid  | 103.104.234.0/24 |      137209 |
| 343 | Valid | Valid  | 103.104.235.0/24 |      137209 |
| 344 | Valid | Valid  | 103.104.248.0/22 |      137210 |
| 345 | Valid | Valid  | 103.104.248.0/24 |      137210 |
| 346 | Valid | Valid  | 103.104.249.0/24 |      137210 |
| 347 | Valid | Valid  | 103.104.250.0/24 |      137210 |
| 348 | Valid | Valid  | 103.104.251.0/24 |      137210 |
| 349 | Valid | Valid  | 103.106.146.0/23 |      137275 |
| 350 | Valid | Valid  | 103.106.146.0/24 |      137275 |
| 351 | Valid | Valid  | 103.106.147.0/24 |      137275 |
| 354 | Valid | Valid  | 103.114.24.0/24  |      137580 |
| 355 | Valid | Valid  | 103.114.25.0/24  |      137580 |
| 356 | Valid | Valid  | 103.114.26.0/24  |      137580 |
| 357 | Valid | Valid  | 103.114.27.0/24  |      137580 |
| 359 | Valid | Valid  | 103.115.167.0/24 |      137854 |
| 361 | Valid | Valid  | 103.117.92.0/22  |      136763 |
| 362 | Valid | Valid  | 103.117.92.0/23  |      136763 |
| 363 | Valid | Valid  | 103.117.92.0/24  |      136763 |
| 364 | Valid | Valid  | 103.117.93.0/24  |      136763 |
| 365 | Valid | Valid  | 103.117.94.0/23  |      136763 |
| 366 | Valid | Valid  | 103.117.94.0/24  |      136763 |
| 367 | Valid | Valid  | 103.117.95.0/24  |      136763 |
| 368 | Valid | Valid  | 103.121.172.0/23 |       45650 |
| 369 | Valid | Valid  | 103.121.172.0/24 |       45650 |
| 370 | Valid | Valid  | 103.121.173.0/24 |       45650 |
| 376 | Valid | Valid  | 103.125.25.0/24  |      137854 |
| 377 | Valid | Valid  | 103.125.26.0/23  |      137854 |
| 378 | Valid | Valid  | 103.125.26.0/24  |      137854 |
| 379 | Valid | Valid  | 103.125.27.0/24  |      137854 |
| 380 | Valid | Valid  | 103.126.244.0/22 |      138495 |
| 381 | Valid | Valid  | 103.126.244.0/24 |      138495 |
| 382 | Valid | Valid  | 103.126.245.0/24 |      138495 |
| 383 | Valid | Valid  | 103.126.246.0/23 |      138495 |
| 384 | Valid | Valid  | 103.126.246.0/24 |      138495 |
| 385 | Valid | Valid  | 103.126.247.0/24 |      138495 |
| 388 | Valid | Valid  | 103.127.63.0/24  |       63991 |
| 389 | Valid | Valid  | 103.129.132.0/24 |      138185 |
| 390 | Valid | Valid  | 103.129.133.0/24 |      138185 |
| 391 | Valid | Valid  | 103.129.134.0/24 |      138185 |
| 392 | Valid | Valid  | 103.129.135.0/24 |      138185 |
| 393 | Valid | Valid  | 103.130.207.0/24 |      138350 |
| 394 | Valid | Valid  | 103.134.72.0/24  |      138605 |
| 395 | Valid | Valid  | 103.134.216.0/22 |      138620 |
| 396 | Valid | Valid  | 103.134.216.0/24 |      138620 |
| 398 | Valid | Valid  | 103.134.217.0/24 |      138620 |
| 399 | Valid | Valid  | 103.134.218.0/24 |      138620 |
| 400 | Valid | Valid  | 103.134.219.0/24 |      138620 |
| 402 | Valid | Valid  | 103.137.200.0/22 |      138964 |
| 403 | Valid | Valid  | 103.137.200.0/23 |      138964 |
| 406 | Valid | Valid  | 103.137.202.0/23 |      138964 |
| 407 | Valid | Valid  | 103.137.202.0/24 |      138964 |
| 408 | Valid | Valid  | 103.137.203.0/24 |      138964 |
| 409 | Valid | Valid  | 103.139.152.0/24 |      139196 |
| 411 | Valid | Valid  | 103.139.254.0/24 |      139224 |
| 412 | Valid | Valid  | 103.139.255.0/24 |      139224 |
| 415 | Valid | Valid  | 103.140.53.0/24  |      139237 |
| 416 | Valid | Valid  | 103.140.132.0/23 |      139261 |
| 417 | Valid | Valid  | 103.140.132.0/24 |      139261 |
| 418 | Valid | Valid  | 103.140.133.0/24 |      139261 |
| 419 | Valid | Valid  | 103.142.196.0/24 |      136739 |
| 420 | Valid | Valid  | 103.142.197.0/24 |      136739 |
| 421 | Valid | Valid  | 103.143.211.0/24 |      139701 |
| 422 | Valid | Valid  | 103.144.106.0/23 |      139741 |
| 423 | Valid | Valid  | 103.144.106.0/24 |      139741 |
| 424 | Valid | Valid  | 103.144.107.0/24 |      139741 |
| 425 | Valid | Valid  | 103.146.148.0/23 |      139902 |
| 426 | Valid | Valid  | 103.146.148.0/24 |      139902 |
| 427 | Valid | Valid  | 103.146.149.0/24 |      139902 |
| 428 | Valid | Valid  | 103.146.218.0/23 |      139907 |
| 429 | Valid | Valid  | 103.146.218.0/24 |      139907 |
| 430 | Valid | Valid  | 103.146.219.0/24 |      139907 |
| 434 | Valid | Valid  | 103.147.226.0/24 |      140050 |
| 435 | Valid | Valid  | 103.147.227.0/24 |      140050 |
| 436 | Valid | Valid  | 103.148.22.0/23  |      140072 |
| 437 | Valid | Valid  | 103.148.22.0/24  |      140072 |
| 438 | Valid | Valid  | 103.148.23.0/24  |      140072 |
| 439 | Valid | Valid  | 103.149.204.0/24 |      140324 |
| 440 | Valid | Valid  | 103.149.205.0/24 |       24550 |
| 441 | Valid | Valid  | 103.152.144.0/23 |      140989 |
| 442 | Valid | Valid  | 103.152.144.0/24 |      140989 |
| 443 | Valid | Valid  | 103.152.145.0/24 |      140989 |
| 444 | Valid | Valid  | 103.153.196.0/23 |      140948 |
| 445 | Valid | Valid  | 103.153.196.0/24 |      140948 |
| 446 | Valid | Valid  | 103.153.197.0/24 |      140948 |
| 450 | Valid | Valid  | 103.154.12.0/24  |      140973 |
| 451 | Valid | Valid  | 103.154.13.0/24  |      140973 |
| 455 | Valid | Valid  | 103.155.20.0/23  |      141024 |
| 456 | Valid | Valid  | 103.155.20.0/24  |      141024 |
| 458 | Valid | Valid  | 103.155.21.0/24  |      141024 |
| 459 | Valid | Valid  | 103.155.22.0/24  |      141032 |
| 460 | Valid | Valid  | 103.155.23.0/24  |      141032 |
| 464 | Valid | Valid  | 103.155.205.0/24 |      138605 |
| 465 | Valid | Valid  | 103.157.34.0/24  |      141240 |
| 470 | Valid | Valid  | 103.160.22.0/23  |      141459 |
| 471 | Valid | Valid  | 103.160.22.0/24  |      141459 |
| 472 | Valid | Valid  | 103.160.23.0/24  |      141459 |
| 474 | Valid | Valid  | 103.161.20.0/24  |      134481 |
| 475 | Valid | Valid  | 103.161.21.0/24  |      134481 |
| 476 | Valid | Valid  | 103.162.6.0/24   |      141689 |
| 477 | Valid | Valid  | 103.162.12.0/23  |      141691 |
| 478 | Valid | Valid  | 103.162.12.0/24  |      141691 |
| 479 | Valid | Valid  | 103.162.13.0/24  |      141691 |
| 484 | Valid | Valid  | 103.164.158.0/24 |      142008 |
| 485 | Valid | Valid  | 103.165.184.0/24 |      142053 |
| 486 | Valid | Valid  | 103.165.185.0/24 |      142053 |
| 487 | Valid | Valid  | 103.166.18.0/23  |      137080 |
| 488 | Valid | Valid  | 103.166.18.0/24  |      137080 |
| 489 | Valid | Valid  | 103.166.19.0/24  |      137080 |
| 490 | Valid | Valid  | 103.166.100.0/23 |      142065 |
| 494 | Valid | Valid  | 103.192.76.0/22  |       55915 |
| 495 | Valid | Valid  | 103.192.76.0/23  |       55915 |
| 496 | Valid | Valid  | 103.192.78.0/24  |       55915 |
| 497 | Valid | Valid  | 103.192.79.0/24  |       55915 |
| 498 | Valid | Valid  | 103.198.8.0/23   |      135337 |
| 499 | Valid | Valid  | 103.198.8.0/24   |      135337 |
| 500 | Valid | Valid  | 103.198.9.0/24   |      135337 |
| 501 | Valid | Valid  | 103.204.220.0/22 |      134995 |
| 502 | Valid | Valid  | 103.204.220.0/23 |      134995 |
| 503 | Valid | Valid  | 103.204.220.0/24 |      134995 |
| 504 | Valid | Valid  | 103.204.221.0/24 |      134995 |
| 505 | Valid | Valid  | 103.204.222.0/24 |      134995 |
| 506 | Valid | Valid  | 103.204.223.0/24 |      134995 |
| 507 | Valid | Valid  | 103.211.148.0/22 |       17501 |
| 508 | Valid | Valid  | 103.212.64.0/23  |      133923 |
| 509 | Valid | Valid  | 103.212.64.0/24  |      133923 |
| 510 | Valid | Valid  | 103.212.65.0/24  |      133923 |
| 511 | Valid | Valid  | 103.213.124.0/22 |       45424 |
| 512 | Valid | Valid  | 103.213.124.0/24 |       45424 |
| 513 | Valid | Valid  | 103.213.125.0/24 |       45424 |
| 514 | Valid | Valid  | 103.213.126.0/24 |       45424 |
